task,class,recall,precision,prevalence
Screening,Adventitious,0.9939338792841977,0.21709175223583968,0.16741989539430255
Screening,Adventitious,0.9936305732484076,0.21773228765120298,0.16741989539430255
Screening,Adventitious,0.9933272672126175,0.21839157108562282,0.16741989539430255
Screening,Adventitious,0.9933272672126175,0.21910751321335384,0.16741989539430255
Screening,Adventitious,0.9930239611768275,0.21977579378398335,0.16741989539430255
Screening,Adventitious,0.9930239611768275,0.2205010775862069,0.16741989539430255
Screening,Adventitious,0.9930239611768275,0.22123116426785594,0.16741989539430255
Screening,Adventitious,0.9927206551410374,0.22189830508474576,0.16741989539430255
Screening,Adventitious,0.9924173491052471,0.22258503401360544,0.16741989539430255
Screening,Adventitious,0.9924173491052471,0.2233294655654904,0.16741989539430255
Screening,Adventitious,0.992114043069457,0.22401040953294069,0.16741989539430255
Screening,Adventitious,0.992114043069457,0.22476465333608192,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.22547059229125008,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.22623495226234952,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.22700451232211039,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.22777932571747006,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.22857542289948274,0.16741989539430255
Screening,Adventitious,0.991810737033667,0.2293610156414393,0.16741989539430255
Screening,Adventitious,0.9912041249620868,0.23001126126126126,0.16741989539430255
Screening,Adventitious,0.9909008189262967,0.2307366339430751,0.16741989539430255
Screening,Adventitious,0.9909008189262967,0.231554327025303,0.16741989539430255
Screening,Adventitious,0.9905975128905066,0.23229018492176387,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.233031189779459,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.23384901876521988,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.2346894767107533,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.23551900742984924,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.23635442304908064,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.2371957864148202,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.23806051768137076,0.16741989539430255
Screening,Adventitious,0.9902942068547164,0.2389140933704083,0.16741989539430255
Screening,Adventitious,0.9899909008189263,0.2397003745318352,0.16741989539430255
Screening,Adventitious,0.9899909008189263,0.24056603773584906,0.16741989539430255
Screening,Adventitious,0.9899909008189263,0.24145583666222814,0.16741989539430255
Screening,Adventitious,0.9893842887473461,0.24218575989308783,0.16741989539430255
Screening,Adventitious,0.9893842887473461,0.24307004470938898,0.16741989539430255
Screening,Adventitious,0.9893842887473461,0.24396081070974496,0.16741989539430255
Screening,Adventitious,0.9887776766757659,0.24472637189400195,0.16741989539430255
Screening,Adventitious,0.9878677585683955,0.2454038577456299,0.16741989539430255
Screening,Adventitious,0.9872611464968153,0.24616199047114876,0.16741989539430255
Screening,Adventitious,0.9872611464968153,0.24707757704569608,0.16741989539430255
Screening,Adventitious,0.9872611464968153,0.24801889667784213,0.16741989539430255
Screening,Adventitious,0.9872611464968153,0.24894837476099427,0.16741989539430255
Screening,Adventitious,0.9869578404610252,0.24980807615538153,0.16741989539430255
Screening,Adventitious,0.9869578404610252,0.2507513292748709,0.16741989539430255
Screening,Adventitious,0.9866545344252351,0.2516243811881188,0.16741989539430255
Screening,Adventitious,0.9866545344252351,0.25260133561111975,0.16741989539430255
Screening,Adventitious,0.986351228389445,0.2534881908176787,0.16741989539430255
Screening,Adventitious,0.9860479223536548,0.2543818466353678,0.16741989539430255
Screening,Adventitious,0.9857446163178647,0.2552823815882492,0.16741989539430255
Screening,Adventitious,0.9857446163178647,0.2562889362037694,0.16741989539430255
Screening,Adventitious,0.9857446163178647,0.2572830905636479,0.16741989539430255
Screening,Adventitious,0.9854413102820746,0.2582055153778908,0.16741989539430255
Screening,Adventitious,0.9851380042462845,0.25913515238551144,0.16741989539430255
Screening,Adventitious,0.9851380042462845,0.2601730214674784,0.16741989539430255
Screening,Adventitious,0.9851380042462845,0.26119823080016086,0.16741989539430255
Screening,Adventitious,0.9851380042462845,0.26223155175197804,0.16741989539430255
Screening,Adventitious,0.9848346982104944,0.263192023992867,0.16741989539430255
Screening,Adventitious,0.9848346982104944,0.2642630422397656,0.16741989539430255
Screening,Adventitious,0.9848346982104944,0.26532113090374243,0.16741989539430255
Screening,Adventitious,0.9848346982104944,0.26638772663877264,0.16741989539430255
Screening,Adventitious,0.9848346982104944,0.2674629324546952,0.16741989539430255
Screening,Adventitious,0.9842280861389142,0.2684036393713813,0.16741989539430255
Screening,Adventitious,0.9842280861389142,0.26949588904576033,0.16741989539430255
Screening,Adventitious,0.9842280861389142,0.27059706470980655,0.16741989539430255
Screening,Adventitious,0.983924780103124,0.27162354517290466,0.16741989539430255
Screening,Adventitious,0.9836214740673339,0.27268140923232154,0.16741989539430255
Screening,Adventitious,0.9833181680315438,0.273725092874029,0.16741989539430255
Screening,Adventitious,0.9833181680315438,0.2748622297583722,0.16741989539430255
Screening,Adventitious,0.9833181680315438,0.276008854077984,0.16741989539430255
Screening,Adventitious,0.9827115559599636,0.2770177838577291,0.16741989539430255
Screening,Adventitious,0.9824082499241735,0.27809736412810165,0.16741989539430255
Screening,Adventitious,0.9824082499241735,0.2792722883255734,0.16741989539430255
Screening,Adventitious,0.9824082499241735,0.2804571824400381,0.16741989539430255
