task,class,fpr,tpr
Screening,Adventitious,0.3857648206879727,0.9696693964209888
Screening,Adventitious,0.39405952671383265,0.9705793145283591
Screening,Adventitious,0.39851183215418395,0.9714892326357295
Screening,Adventitious,0.4037570139058307,0.9723991507430998
Screening,Adventitious,0.40833130031715054,0.9733090688504701
Screening,Adventitious,0.40967309099780436,0.9742189869578405
Screening,Adventitious,0.4177238350817272,0.9748255990294207
Screening,Adventitious,0.4269943888753355,0.9757355171367911
Screening,Adventitious,0.43077579897535984,0.9766454352441614
Screening,Adventitious,0.4584044888997316,0.9775553533515317
Screening,Adventitious,0.46456452793364234,0.978465271458902
Screening,Adventitious,0.4724932910465967,0.9790718835304822
Screening,Adventitious,0.4879848743595999,0.9802851076736427
Screening,Adventitious,0.4898145889241278,0.981195025781013
Screening,Adventitious,0.5003049524274213,0.9821049438883834
Screening,Adventitious,0.5169553549646255,0.9830148619957537
Screening,Adventitious,0.5287265186630885,0.9836214740673339
Screening,Adventitious,0.5419004635276897,0.9845313921747043
Screening,Adventitious,0.5694681629665772,0.9854413102820746
Screening,Adventitious,0.5811783361795559,0.986351228389445
Screening,Adventitious,0.5964869480361064,0.9872611464968153
Screening,Adventitious,0.6111246645523298,0.9878677585683955
Screening,Adventitious,0.6138692363991217,0.9887776766757659
Screening,Adventitious,0.6248475237862894,0.9896875947831362
Screening,Adventitious,0.6574164430348866,0.9905975128905066
Screening,Adventitious,0.6681507684801171,0.9915074309978769
Screening,Adventitious,0.6932178580141498,0.992114043069457
Screening,Adventitious,0.7113320322029764,0.9930239611768275
Screening,Adventitious,0.7181019760917297,0.9936305732484076
Screening,Adventitious,0.731763844840205,0.9945404913557779
Screening,Adventitious,0.7607953159307148,0.9954504094631483
Screening,Adventitious,0.7885459868260551,0.9963603275705186
Screening,Adventitious,0.8120883142229812,0.9969669396420989
Screening,Adventitious,0.8236155159795072,0.9975735517136791
Screening,Adventitious,0.8281898023908271,0.9975735517136791
Screening,Adventitious,0.8317882410343986,0.9975735517136791
Screening,Adventitious,0.833495974627958,0.9975735517136791
Screening,Adventitious,0.8663088558184923,0.9981801637852593
Screening,Adventitious,0.9191876067333496,0.9990900818926297
Screening,Adventitious,1.0,1.0
Sound pattern,Normal,0.0,0.0
Sound pattern,Normal,0.0006066120715802245,0.050561112466455234
Sound pattern,Normal,0.001516530178950561,0.15052451817516468
Sound pattern,Normal,0.0021231422505307855,0.16857770187850696
Sound pattern,Normal,0.003033060357901122,0.25640400097584776
Sound pattern,Normal,0.004246284501061571,0.27037082215174435
Sound pattern,Normal,0.005156202608431908,0.28988777750670897
Sound pattern,Normal,0.005762814680012132,0.318736277140766
Sound pattern,Normal,0.006672732787382469,0.33142229812149304
Sound pattern,Normal,0.0075826508947528055,0.34240058550866065
Sound pattern,Normal,0.008492569002123142,0.36880946572334716
Sound pattern,Normal,0.00940248710949348,0.3790558672847036
Sound pattern,Normal,0.010009099181073703,0.41138082459136377
Sound pattern,Normal,0.01091901728844404,0.4382166382044401
Sound pattern,Normal,0.011828935395814377,0.44602342034642595
Sound pattern,Normal,0.012738853503184714,0.4498658209319346
Sound pattern,Normal,0.013345465574764938,0.45444010734325446
Sound pattern,Normal,0.014255383682135275,0.46938277628689923
Sound pattern,Normal,0.015165301789505611,0.4742620151256404
Sound pattern,Normal,0.016075219896875947,0.48395950231763846
Sound pattern,Normal,0.01668183196845617,0.49152232251768724
Sound pattern,Normal,0.017591750075826508,0.5034154671871188
Sound pattern,Normal,0.018501668183196845,0.5176872407904367
Sound pattern,Normal,0.019411586290567183,0.5223225176872408
Sound pattern,Normal,0.02032150439793752,0.5305562332276165
Sound pattern,Normal,0.020928116469517744,0.5389119297389607
Sound pattern,Normal,0.02183803457688808,0.5555013417906807
Sound pattern,Normal,0.022747952684258416,0.56135642839717
Sound pattern,Normal,0.023657870791628753,0.5702610392778726
Sound pattern,Normal,0.024264482863208977,0.5791656501585752
Sound pattern,Normal,0.025174400970579314,0.5892290802634789
Sound pattern,Normal,0.026084319077949652,0.5901439375457429
